{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 10, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_output_size': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 14, 'future_day': 16, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'multi_task_enable': 0, 'fine_grained': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
     train: epoch 21 loss 0.033821  rmse 0.0981  df(ActivateDay.Avg) 0.0185  MAE 0.0614
               valid loss 0.010721  rmse 0.0957  df(ActivateDay.Avg) 0.0360  MAE 0.0583
                test loss 0.010466  rmse 0.0945  df(ActivateDay.Avg) 0.0220  MAE 0.0575
     train: epoch 22 loss 0.033681  rmse 0.0979  df(ActivateDay.Avg) 0.0190  MAE 0.0614
               valid loss 0.010722  rmse 0.0957  df(ActivateDay.Avg) 0.0329  MAE 0.0579
     train: epoch 23 loss 0.033725  rmse 0.0979  df(ActivateDay.Avg) 0.0087  MAE 0.0610
               valid loss 0.010691  rmse 0.0955  df(ActivateDay.Avg) 0.0627  MAE 0.0615
                test loss 0.010474  rmse 0.0945  df(ActivateDay.Avg) 0.0793  MAE 0.0609
     train: epoch 24 loss 0.033442  rmse 0.0975  df(ActivateDay.Avg) 0.0145  MAE 0.0610
               valid loss 0.011035  rmse 0.0970  df(ActivateDay.Avg) 0.2076  MAE 0.0661
     train: epoch 25 loss 0.033636  rmse 0.0978  df(ActivateDay.Avg) 0.0203  MAE 0.0613
               valid loss 0.010886  rmse 0.0964  df(ActivateDay.Avg) 0.1074  MAE 0.0624
     train: epoch 26 loss 0.033510  rmse 0.0976  df(ActivateDay.Avg) 0.0186  MAE 0.0612
               valid loss 0.010747  rmse 0.0958  df(ActivateDay.Avg) 0.0750  MAE 0.0616
     train: epoch 27 loss 0.033450  rmse 0.0975  df(ActivateDay.Avg) 0.0118  MAE 0.0610
               valid loss 0.010822  rmse 0.0961  df(ActivateDay.Avg) 0.1546  MAE 0.0645
     train: epoch 28 loss 0.033517  rmse 0.0976  df(ActivateDay.Avg) 0.0192  MAE 0.0611
               valid loss 0.010660  rmse 0.0954  df(ActivateDay.Avg) 0.1091  MAE 0.0631
                test loss 0.010522  rmse 0.0948  df(ActivateDay.Avg) 0.1305  MAE 0.0627
     train: epoch 29 loss 0.033484  rmse 0.0976  df(ActivateDay.Avg) 0.0167  MAE 0.0611
               valid loss 0.010690  rmse 0.0955  df(ActivateDay.Avg) 0.0541  MAE 0.0609
     train: epoch 30 loss 0.033394  rmse 0.0975  df(ActivateDay.Avg) 0.0168  MAE 0.0609
               valid loss 0.010748  rmse 0.0958  df(ActivateDay.Avg) 0.1247  MAE 0.0634
     train: epoch 31 loss 0.033377  rmse 0.0974  df(ActivateDay.Avg) 0.0208  MAE 0.0611
               valid loss 0.010676  rmse 0.0954  df(ActivateDay.Avg) 0.0720  MAE 0.0571
     train: epoch 32 loss 0.033311  rmse 0.0973  df(ActivateDay.Avg) 0.0159  MAE 0.0608
               valid loss 0.010637  rmse 0.0953  df(ActivateDay.Avg) 0.0490  MAE 0.0607
                test loss 0.010511  rmse 0.0947  df(ActivateDay.Avg) 0.0692  MAE 0.0605
     train: epoch 33 loss 0.033367  rmse 0.0974  df(ActivateDay.Avg) 0.0152  MAE 0.0609
               valid loss 0.010737  rmse 0.0957  df(ActivateDay.Avg) 0.0395  MAE 0.0600
     train: epoch 34 loss 0.033324  rmse 0.0974  df(ActivateDay.Avg) 0.0162  MAE 0.0609
               valid loss 0.010583  rmse 0.0950  df(ActivateDay.Avg) 0.0158  MAE 0.0586
                test loss 0.010456  rmse 0.0945  df(ActivateDay.Avg) 0.0036  MAE 0.0581
     train: epoch 35 loss 0.033092  rmse 0.0970  df(ActivateDay.Avg) 0.0135  MAE 0.0606
               valid loss 0.010656  rmse 0.0954  df(ActivateDay.Avg) 0.0139  MAE 0.0577
     train: epoch 36 loss 0.033152  rmse 0.0971  df(ActivateDay.Avg) 0.0160  MAE 0.0606
